Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
Indonesia,AIMERE,,0,0,0,1,8,,Indonesia,"Timor Sea"
Singapore,"ARMADA STERLING II",,0,3,3,1,5,,"West Coast India","West Coast India"
Indonesia,BAJOE,,0,4,2,1,8,,Indonesia,"Banda Sea"
Indonesia,BAKAU,,0,1,0,1,8,,Indonesia,"Makassar Strait"
Indonesia,"BANDA NEIRA",IDNDA,0,0,0,1,9,,Indonesia,"Banda Sea"
Indonesia,BANGGAI,IDBGG,0,1,0,1,8,,Indonesia,"Molucca Sea"
Russia,BERINGOVSKIY,RUBER,0,22,17,1,12,"BERINGOVSKY ANCH","CIS Pacific","Bering Sea"
Indonesia,BIU,,0,0,0,1,8,,Indonesia,"Timor Sea"
Malaysia,"CASPIAN SEA",,0,4,4,1,8,,Indonesia,"Riau Archipelago"
Philippines,CORON,PHXCN,0,1,0,1,8,,Philippines,Philippines
Philippines,DAMORTIS,,0,1,0,1,8,,Philippines,Philippines
Bahamas,"ERAWAN 2",,0,1,1,1,7,,"South-East Asia","Gulf of Thailand"
Indonesia,"FAK FAK",IDFKQ,0,0,0,1,9,"FAKFAK ANCH",Indonesia,Indonesia
India,FALTA,INFLT,0,0,0,1,5.5,"KOLKATA ANCH","East Coast India","Bengal Bay"
Russia,FOKINO,RUFKN,0,1,0,1,10,,"CIS Pacific","CIS Pacific"
Malaysia,"FPSO BERTAM",,0,2,2,1,8,,Indonesia,"Riau Archipelago"
Pakistan,GADANI,,0,0,0,1,5,,"West Coast India","West Coast India"
Indonesia,"JAWA SATU",,0,0,0,1,7,,Indonesia,"Java Sea"
Philippines,JOLO,PHJOL,0,1,0,1,8,,Philippines,"Sulu Sea"
Indonesia,KAYONG,,0,0,0,1,7,,Indonesia,"Java Sea"
Indonesia,LABUHA,IDLAH,0,1,1,1,9,,Indonesia,"Molucca Sea"
Russia,LAZAREV,RULAZ,0,0,0,1,10,,"CIS Pacific","Okhotsk Sea"
Philippines,LILOAN,,0,3,2,1,8,,Philippines,"Sulu Sea"
Philippines,MASBATE,PHMBT,0,2,2,1,8,,Philippines,Philippines
Russia,MOSKALVO,RUMVO,0,0,0,1,10,,"CIS Pacific","Okhotsk Sea"
India,NAGAPATTINAM,INNPT,0,0,0,1,5.5,,"East Coast India","Bengal Bay"
Vietnam,"NAM DINH",VNNMD,0,0,0,1,7,,"South-East Asia","South-East Asia"
Indonesia,NAMROLE,IDNRE,0,1,1,1,9,,Indonesia,"Banda Sea"
Russia,NEVODSKOYE,,0,1,0,1,11,,"CIS Pacific","Okhotsk Sea"
Philippines,PAGBILAO,PHPGB,0,0,0,1,9,"PAGBILAO ANCH",Philippines,Philippines
Indonesia,PAGIMANA,IDPGM,0,1,0,1,8,,Indonesia,"Molucca Sea"
Indonesia,PEKANBARU,IDPKU,0,0,0,1,7,"SUNGAI PAKNING ANCH",Indonesia,Indonesia
Indonesia,REO,IDREO,0,2,1,1,8,,Indonesia,"Java Sea"
India,SALAYA,INSAL,0,0,0,1,5.5,,"West Coast India","West Coast India"
Philippines,"SAN FERNANDO",PHPRO,0,1,0,1,8,"SAN FERNANDO ANCH",Philippines,Philippines
Indonesia,SINTETE,,0,1,1,1,7,,Indonesia,"Riau Archipelago"
Philippines,SIQUIJOR,,0,0,0,1,8,,Philippines,Philippines
Philippines,SUAL,PHSUA,0,0,0,1,8,,Philippines,Philippines
Indonesia,WASIOR,IDWSR,0,0,0,1,9,,Indonesia,Indonesia
Panama,"ABAN ICE",,0,0,0,0,5,,"West Coast India","West Coast India"
Indonesia,AGATS,,0,1,1,0,9,,Indonesia,"Arafura Sea"
India,AGHANASHINI,,0,0,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,"AIS TEST",,0,0,0,0,8,,Indonesia,"Java Sea"
"Cook Islands",AITUTAKI,CKAIT,0,0,0,0,-10,"AITUTAKI ANCH","South Pacific","South Pacific"
"Cook Islands","AITUTAKI ANCH",,0,0,0,0,-10,,"South Pacific","South Pacific"
Philippines,ALCOY,PHALC,0,0,0,0,8,,Philippines,Philippines
Russia,ALEXANDROVSK,RUSAK,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
Liberia,ALIMA,,0,0,0,0,-10,,"South Pacific","South Pacific"
Niue,ALOFI,NUALO,0,1,1,0,-11,"ALOFI ANCH","South Pacific","South Pacific"
Indonesia,"AMPENAN ANCH",,0,1,0,0,8,,Indonesia,"Timor Sea"
Russia,ANDREEVA,,0,0,0,0,10,,"CIS Pacific","CIS Pacific"
Palau,ANGAUR,PWANG,0,0,0,0,9,,Indonesia,Indonesia
Russia,ANIVA,,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
Russia,ANTARES,,0,1,0,0,10,,"CIS Pacific","CIS Pacific"
Indonesia,"ARENZA XXVII",,0,0,0,0,7,,Indonesia,"Java Sea"
Singapore,"ARMADA STERLING",,0,4,4,0,5,,"West Coast India","West Coast India"
"Marshall Islands","ARMADA TGT 1",,0,0,0,0,7,,"South-East Asia","South-East Asia"
Philippines,AROROY,,0,0,0,0,8,,Philippines,Philippines
Tokelau,ATAFU,TKAFU,0,4,4,0,13,,"South Pacific","South Pacific"
"Cook Islands",ATIU,CKAIU,0,0,0,0,-10,,"South Pacific","South Pacific"
"French Polynesia","ATUONA BAY ANCH",,0,0,0,0,-9.5,,"South Pacific","South Pacific"
Philippines,BAGACAY,,0,0,0,0,8,,Philippines,Philippines
Thailand,"BANGPAKONG ANCH",,0,5,2,0,7,,"South-East Asia","Gulf of Thailand"
Myanmar,BASSEIN,MMBSX,0,0,0,0,7.5,,"South-East Asia","Andaman Sea"
Philippines,BATO,,0,0,0,0,8,,Philippines,Philippines
Russia,BAYKOVO,,0,0,0,0,12,"BAYKOVO ANCH","CIS Pacific","CIS Pacific"
Russia,"BAYKOVO ANCH",,0,0,0,0,12,,"CIS Pacific","Okhotsk Sea"
India,BELEKERI,INBLK,0,0,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,"BENETE ANCH",,0,0,0,0,8,,Indonesia,"Timor Sea"
Indonesia,BENTENG,,0,2,1,0,8,,Indonesia,"Banda Sea"
India,"BEYPORE ANCH",,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,BEYT,INBYT,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,"BHARATI SHIPYARD",,0,0,0,0,5.5,,"West Coast India","West Coast India"
Russia,BODAYBO,,0,0,0,0,8,,"CIS Pacific","CIS Pacific"
Philippines,BOGO,PHBOG,0,2,1,0,8,,Philippines,Philippines
Philippines,BORACAY,PHBOR,0,0,0,0,8,,Philippines,"Sulu Sea"
Russia,"BOSHNYAKOVO ANCH",,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
Indonesia,"BRANTA PESISIR",,0,0,0,0,7,,Indonesia,"Java Sea"
Indonesia,"BW JOKO TOLE",,0,0,0,0,7,,Indonesia,"Java Sea"
"Installations in Intl Waters","CAMAR MARINE TERMINA",XZCMT,0,0,0,0,0,,Indonesia,"Java Sea"
Philippines,CAPALONGA,PHCPL,0,0,0,0,8,,Philippines,Philippines
Philippines,CATAINGAN,,0,1,0,0,8,,Philippines,Philippines
Philippines,CAWAYAN,,0,1,1,0,8,,Philippines,Philippines
Indonesia,"CELUKAN BAWANG ANCH",,0,0,0,0,8,,Indonesia,"Java Sea"
Russia,CHAYVO,,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
Russia,"CHAZHMA ANCH",,0,1,1,0,10,,"CIS Pacific","CIS Pacific"
Russia,CHEKHOV,RUCKV,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
India,"CHENNAI ANCH",,0,12,11,0,5.5,,"East Coast India","Bengal Bay"
Russia,CHERSKY,,0,1,0,0,11,,"CIS Pacific","CIS Pacific"
Vietnam,"CHI LINH",,0,1,1,0,7,,"South-East Asia","South-East Asia"
Bangladesh,"CHITTAGONG BREAKYARD",,0,0,0,0,6,,"East Coast India","Bengal Bay"
India,CHOMBALA,,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,"CHOWGULE GROUP",,0,0,0,0,5.5,,"West Coast India","West Coast India"
"Christmas Is","CHRISTMAS ISLE ANCH",,0,1,1,0,7,,Indonesia,Indonesia
Fiji,CICIA,FJICI,0,0,0,0,12,,"South Pacific","South Pacific"
"Marshall Islands","CS DEVELOPMENT",,0,0,0,0,7,,Indonesia,"Singapore Area"
India,CUDDALORE,INCDL,0,0,0,0,5.5,"CUDDALORE ANCH","East Coast India","Bengal Bay"
Philippines,CULASI,PHCSI,0,0,0,0,8,"CULASI ANCH",Philippines,Philippines
Philippines,"CULASI ANCH",,0,0,0,0,8,,Philippines,Philippines
India,DAHANU,INDHU,0,0,0,0,5.5,"DAHANU ANCH","West Coast India","West Coast India"
India,"DAHANU ANCH",,0,1,0,0,5.5,,"West Coast India","West Coast India"
Vietnam,"DAI HUNG 01",,0,1,1,0,7,,Indonesia,"Riau Archipelago"
Philippines,DANAO,,0,6,4,0,8,,Philippines,Philippines
India,"DIGHI ANCH",,0,0,0,0,5.5,,"West Coast India","West Coast India"
Timor-Leste,"DILI ANCH",,0,1,1,0,9,,Indonesia,"Timor Sea"
Philippines,DIPOLOG,PHDPL,0,2,1,0,8,,Philippines,"Sulu Sea"
Malaysia,"DUTA PACIFIC",,0,1,1,0,8,,Indonesia,"Riau Archipelago"
Russia,EGVEKINOT,RUEGV,0,1,0,0,12,"EGVEKINOT ANCH","CIS Pacific","Bering Sea"
Russia,"EGVEKINOT ANCH",,0,0,0,0,12,,"CIS Pacific","Bering Sea"
Philippines,"EL NIDO",PHENI,0,0,0,0,8,,Philippines,Philippines
Russia,ELIZAROVA,,0,0,0,0,10,,"CIS Pacific","CIS Pacific"
Tonga,"EUA ISLAND",TOEUA,0,0,0,0,13,,"South Pacific","South Pacific"
Tokelau,FAKAOFO,TKFKO,0,0,0,0,13,,"South Pacific","South Pacific"
Indonesia,"FAKFAK ANCH",,0,0,0,0,9,,Indonesia,Indonesia
"French Polynesia","FATU HIVA ANCH",,0,1,1,0,-9.5,,"South Pacific","South Pacific"
Indonesia,FLORES,,0,0,0,0,8,,Indonesia,"Timor Sea"
Malaysia,"FOIS NAUTICA TEMBIKA",,0,0,0,0,8,,Indonesia,"Riau Archipelago"
Malaysia,"FPSO BERANTAI",,0,0,0,0,8,,Indonesia,"Riau Archipelago"
Liberia,"FPSO CENDOR",,0,0,0,0,-10,,"South Pacific","South Pacific"
Malaysia,"FSO BENCHAMAS 2",,0,0,0,0,7,,"South-East Asia","Gulf of Thailand"
Malaysia,"FSO GOLDEN STAR",,0,1,1,0,7,,Indonesia,"Riau Archipelago"
Japan,FUNADOMARI,JPFND,0,0,0,0,9,,"CIS Pacific","CIS Pacific"
Indonesia,"FUTONG ANCH",,0,1,1,0,8,,Indonesia,"Malacca Strait"
"Wallis Futuna Is","FUTUNA ISLAND",WFFUT,0,0,0,0,12,,"South Pacific","South Pacific"
India,GADIWARA,,0,0,0,0,5.5,,"East Coast India","Bengal Bay"
Indonesia,GALELA,IDGLX,0,0,0,0,9,,Indonesia,Indonesia
India,GANGOLI,,0,0,0,0,5.5,,"West Coast India","West Coast India"
Philippines,"GARCIA HERNANDEZ",PHGHE,0,0,0,0,8,,Philippines,Philippines
Indonesia,"GARONGKONG ANCH",,0,0,0,0,8,,Indonesia,"Java Sea"
India,GEONKHALI,,0,0,0,0,5.5,,"East Coast India","Bengal Bay"
India,GOPALPET,,0,0,0,0,5.5,,"West Coast India","West Coast India"
Russia,GORNOSTAY,,0,0,0,0,10,,"CIS Pacific","CIS Pacific"
Philippines,GUIJALO,,0,0,0,0,8,,Philippines,Philippines
India,HARNAI,INHRN,0,0,0,0,5.5,,"West Coast India","West Coast India"
Philippines,HINATUAN,,0,0,0,0,8,,Philippines,Philippines
Philippines,HINDANG,,0,0,0,0,8,,Philippines,Philippines
"French Polynesia","HIVA OA",PFHIX,0,0,0,0,-9.5,,"South Pacific","South Pacific"
Singapore,"HOEGH GANNET",,0,0,0,0,7,,Indonesia,"Malacca Strait"
Japan,HONTOMARI,,0,0,0,0,9,,"CIS Pacific","CIS Pacific"
Philippines,"ISABEL ANCH",,0,0,0,0,8,,Philippines,Philippines
"Sri Lanka",JAFFNA,LKJAF,0,0,0,0,6.5,,"East Coast India","Bengal Bay"
India,"JAFRABAD ANCH",,0,1,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,JIKOTAMO,,0,0,0,0,9,,Indonesia,"Molucca Sea"
Pakistan,JIWANI,PKJIW,0,0,0,0,5,,"West Coast India","West Coast India"
Japan,KAFUKA,JPKBK,0,4,4,0,9,,"CIS Pacific","CIS Pacific"
Indonesia,"KALABAHI ANCH",,0,0,0,0,8,,Indonesia,"Banda Sea"
Philippines,KALAMANSIG,PHKLM,0,0,0,0,8,,Philippines,Philippines
Philippines,KALIBO,PHKLO,0,0,0,0,8,,Philippines,"Sulu Sea"
India,KANNUR,,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,KANYAKUMARI,INKKM,0,0,0,0,5.5,,"East Coast India","Laccadive Sea"
India,"KARAIKAL ANCH",,0,0,0,0,5.5,,"East Coast India","Bengal Bay"
Panama,"KARAPAN ARMADA STERL",,0,0,0,0,7,,Indonesia,Indonesia
Russia,KARAUL,,0,1,1,0,7,,"CIS Pacific","Kara Sea"
India,"KARWAR BAY",,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,"KATTUPALLI ANCH",,0,3,2,0,5.5,,"East Coast India","Bengal Bay"
Indonesia,"KIJANG ANCH",,0,1,0,0,7,,Indonesia,"Singapore Area"
Indonesia,KISAR,,0,0,0,0,9,,Indonesia,"Banda Sea"
Russia,KISLOKAN,,0,0,0,0,7,KISLOKAN,"CIS Pacific","CIS Pacific"
Australia,KITAN,,0,0,0,0,8,,Indonesia,"Timor Sea"
Thailand,"KO ADANG",,0,0,0,0,7,,"South-East Asia","Malacca Strait"
Thailand,"KO HONG",,0,0,0,0,7,,"South-East Asia","Andaman Sea"
Indonesia,"KOBI SADAR",,0,0,0,0,9,,Indonesia,Indonesia
Cambodia,"KOH KONG",KHKKZ,0,0,0,0,7,,"South-East Asia","Gulf of Thailand"
Indonesia,"KOLAKA ANCH",,0,0,0,0,8,,Indonesia,"Banda Sea"
India,KOLGAON,,0,0,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,KOMODO,IDKMD,0,1,1,0,8,,Indonesia,"Timor Sea"
Cambodia,"KOMPONG THOM",KHKZK,0,0,0,0,7,,"South-East Asia","South-East Asia"
Palau,KOROR,PWROR,0,0,0,0,9,,Indonesia,Indonesia
India,KOYILANDY,,0,0,0,0,5.5,,"West Coast India","West Coast India"
Russia,KRASNOGORSK,RUKRS,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
India,KUDANKULAM,,0,0,0,0,5.5,,"East Coast India","Laccadive Sea"
Malaysia,KUDAT,MYKUD,0,1,0,0,8,,Indonesia,"Riau Archipelago"
Indonesia,"KUMAI ANCH",,0,0,0,0,7,,Indonesia,"Java Sea"
Japan,KUTSUGATA,JPKTG,0,1,1,0,9,,"CIS Pacific","CIS Pacific"
Indonesia,"LABUAN UKI",,0,0,0,0,8,,Indonesia,"Molucca Sea"
Malaysia,"LAHAD DATU ANCH",,0,1,0,0,8,,Indonesia,"Celebes Sea"
Indonesia,"LARANTUKA ANCH",,0,0,0,0,8,,Indonesia,"Banda Sea"
Russia,LAVRENTIYA,RULVR,0,0,0,0,12,,"CIS Pacific","Bering Sea"
Indonesia,"LAWE LAWE ANCH",,0,2,2,0,8,,Indonesia,"Makassar Strait"
Philippines,LEGAZPI,PHSOR,0,0,0,0,8,"LEGAZPI ANCH",Philippines,Philippines
Philippines,"LEGAZPI ANCH",,0,0,0,0,8,,Philippines,Philippines
Russia,LENINGRADSKY,,0,0,0,0,12,,"CIS Pacific","East Siberian Sea"
Indonesia,LETI,,0,1,0,0,9,,Indonesia,"Banda Sea"
Indonesia,"LEWOLEBA ANCH",,0,0,0,0,8,,Indonesia,"Banda Sea"
Indonesia,LHOKNGA,IDLHK,0,0,0,0,7,"LHOKNGA ANCH",Indonesia,Indonesia
Indonesia,"LHOKNGA ANCH",,0,0,0,0,7,,Indonesia,Indonesia
Philippines,"LUGAIT ANCH",,0,0,0,0,8,,Philippines,Philippines
Indonesia,"LUWUK ANCH",,0,1,0,0,8,,Indonesia,"Molucca Sea"
