Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
Indonesia,"TANJUNG BULI",IDTBU,0,0,0,0,9,,Indonesia,Indonesia
Indonesia,"TANJUNG PINANG ANCH",,0,1,1,0,7,,Indonesia,"Singapore Area"
"American Samoa",TAU,ASTAV,0,0,0,0,-11,,"South Pacific","South Pacific"
Malaysia,"TELAGA HARBOUR",,0,0,0,0,8,,Indonesia,"Malacca Strait"
Indonesia,"TERNATE ANCH",,0,1,1,0,9,,Indonesia,"Molucca Sea"
"French Polynesia",TETIAROA,PFTTI,0,0,0,0,-10,,"South Pacific","South Pacific"
Indonesia,TIFU,,0,0,0,0,9,,Indonesia,"Banda Sea"
Russia,TIKSI,RUIKS,0,0,0,0,9,,"CIS Pacific","Laptev Sea"
Indonesia,"TOLITOLI ANCH",,0,0,0,0,8,,Indonesia,"Celebes Sea"
Russia,TOMARI,,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
Tonga,TONGA,TOPAN,0,0,0,0,13,,"South Pacific","South Pacific"
Philippines,"TSUNEISHI IND ANCH",,0,0,0,0,8,,Philippines,Philippines
Philippines,"TSUNEISHI INDUSTRIES",,0,0,0,0,8,"TSUNEISHI IND ANCH",Philippines,Philippines
"French Polynesia","UA HUKA",PFUAH,0,0,0,0,-9.3,,"South Pacific","South Pacific"
"French Polynesia","UA POU",PFUAP,0,0,0,0,-9.5,,"South Pacific","South Pacific"
Russia,UGLEGORSK,RUUGL,0,0,0,0,11,"UGLEGORSK ANCH","CIS Pacific","Okhotsk Sea"
Russia,"UGLEGORSK ANCH",,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
Philippines,URBIZTONDO,,0,0,0,0,8,"TAGANITO ANCH",Philippines,Philippines
Russia,"VANKOR FIELD",,0,0,0,0,6,,"CIS Pacific","Kara Sea"
Fiji,"VANUA MBALAVU",FJVBV,0,0,0,0,12,,"South Pacific","South Pacific"
India,"VELHA GOA",,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,VENGALI,,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,VENKATAPUR,,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,VERAVAL,INVVA,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,VIJAYDURG,INVYD,0,0,0,0,5.5,,"West Coast India","West Coast India"
India,"VIZHINJAM ANCH",,0,0,0,0,6.5,,"East Coast India","Laccadive Sea"
Indonesia,WAEWOLE,,0,0,0,0,8,,Indonesia,"Timor Sea"
Indonesia,WAIKELO,,0,0,0,0,8,,Indonesia,"Timor Sea"
Indonesia,"WAINGAPU ANCH",,0,0,0,0,8,,Indonesia,"Timor Sea"
"Wallis Futuna Is","WALLIS ISLAND APT",WFWLS,0,0,0,0,12,,"South Pacific","South Pacific"
Russia,"YUZHNO-MORSKOY ANCH",,0,2,2,0,10,,"CIS Pacific","CIS Pacific"
