Port,Year,Week,"Commercial Market","Commercial Size Class"," Median Waiting Time Off Port Limits","Waiting Time Off Port Limits Confidence Score ","Median Time At Port","Time At Port Confidence Score","Median Waiting Time Off Port Limits  Standard Deviation ","Time At Port Standard Deviation","Median Waiting Time Off Port Limits Difference (week-to-week)","Waiting Time Off Port Limits  % Difference (week-to-week)","Time At Port Difference (week-to-week)","Time At Port % Difference (week-to-week)","Number Of Calls","Number Of Vessels","Port Country",Unlocode
"Fak fak",2022,15,ALL,ALL,,MEDIUM,0.4,MEDIUM,,0.4,,0.0,-0.1,-20.0,2,2,Indonesia,IDFKQ
Ende,2022,15,ALL,ALL,0.3,LOW,0.3,LOW,0.1,0.3,0.0,0.0,-0.4,-57.1,4,3,Indonesia,IDENE
Dumai,2022,15,ALL,ALL,2.1,HIGH,1.8,HIGH,4.7,4.5,1.8,600.0,-0.5,-21.7,37,30,Indonesia,IDDUM
Ciwandan,2022,15,ALL,ALL,0.3,LOW,1.0,LOW,1.6,1.4,0.0,0.0,0.1,11.1,21,21,Indonesia,IDCIW
Cirebon,2022,15,ALL,ALL,0.7,MEDIUM,1.8,MEDIUM,3.7,1.6,-0.1,-12.5,-1.3,-41.9,4,4,Indonesia,IDCBN
Cilegon,2022,15,ALL,ALL,0.1,LOW,5.0,LOW,,5.8,-0.4,-80.0,0.1,2.0,7,7,Indonesia,IDCGN
Cilacap,2022,15,ALL,ALL,0.8,LOW,1.8,LOW,2.6,1.2,-1.6,-66.7,0.3,20.0,13,12,Indonesia,IDCXP
Cigading,2022,15,ALL,ALL,0.3,MEDIUM,3.0,MEDIUM,0.4,4.8,0.0,0.0,-0.3,-9.1,10,10,Indonesia,IDCIG
Bunati,2022,15,ALL,ALL,0.1,LOW,5.3,LOW,0.1,3.0,-0.1,-50.0,-0.4,-7.0,15,15,Indonesia,IDBUT
Bontang,2022,15,ALL,ALL,0.8,LOW,3.4,LOW,10.2,1.9,0.0,0.0,-0.3,-8.1,22,22,Indonesia,IDBXT
Bitung,2022,15,ALL,ALL,0.4,LOW,1.0,LOW,0.8,6.4,0.0,0.0,-0.4,-28.6,17,14,Indonesia,IDBIT
Biringkassi,2022,15,ALL,ALL,0.2,LOW,4.0,LOW,0.0,3.5,-2.3,-92.0,2.1,110.5,3,3,Indonesia,IDBIR
Benoa,2022,15,ALL,ALL,0.3,MEDIUM,1.1,MEDIUM,0.3,0.5,-0.2,-40.0,0.0,0.0,8,5,Indonesia,IDBOA
Bengkulu,2022,15,ALL,ALL,,MEDIUM,2.3,MEDIUM,,4.7,,,-0.7,-23.3,9,9,Indonesia,IDBKS
Benete,2022,15,ALL,ALL,0.4,LOW,0.8,LOW,,0.8,-0.4,-50.0,-1.6,-66.7,2,2,Indonesia,IDBEN
Belawan,2022,15,ALL,ALL,0.8,LOW,1.7,LOW,2.1,2.8,-0.1,-11.1,0.3,21.4,39,38,Indonesia,IDBLW
"Batu ampar",2022,15,ALL,ALL,0.9,LOW,1.0,LOW,12.1,16.3,0.1,12.5,-0.3,-23.1,35,19,Indonesia,IDBUR
Banjarmasin,2022,15,ALL,ALL,0.2,LOW,1.1,LOW,0.7,2.8,-0.1,-33.3,0.2,22.2,44,35,Indonesia,IDBDJ
"Banda aceh",2022,15,ALL,ALL,,MEDIUM,0.3,MEDIUM,,0.0,,,-0.3,-50.0,6,1,Indonesia,IDBTJ
Balikpapan,2022,15,ALL,ALL,1.4,LOW,1.4,LOW,2.2,0.8,0.1,7.7,0.0,0.0,30,27,Indonesia,IDBPN
Bakauheni,2022,15,ALL,ALL,0.0,HIGH,0.1,HIGH,0.7,0.7,0.0,0.0,0.0,0.0,545,47,Indonesia,IDTKG
Bajoe,2022,15,ALL,ALL,,LOW,0.8,LOW,,0.8,,,0.0,0.0,13,5,Indonesia,
Ampenan,2022,15,ALL,ALL,,MEDIUM,0.8,MEDIUM,,0.4,,,0.3,60.0,2,2,Indonesia,IDAMP
Ambon,2022,15,ALL,ALL,18.1,LOW,1.6,LOW,13.0,2.1,17.8,5933.3,0.5,45.5,12,9,Indonesia,IDAMQ
Amamapare,2022,15,ALL,ALL,2.2,LOW,1.1,LOW,13.0,2.0,-1.9,-46.3,-0.4,-26.7,10,8,Indonesia,IDAMA
"Adang bay",2022,15,ALL,ALL,0.0,LOW,5.8,LOW,0.5,2.3,-2.3,-100.0,-3.5,-37.6,12,12,Indonesia,IDADB
Wayame,2022,14,ALL,ALL,1.3,LOW,1.5,LOW,1.4,2.8,0.5,62.5,0.3,25.0,13,12,Indonesia,
Waingapu,2022,14,ALL,ALL,0.3,LOW,0.3,LOW,0.2,0.5,-0.4,-57.1,-0.2,-40.0,4,3,Indonesia,IDWGP
Tuban,2022,14,ALL,ALL,2.1,HIGH,1.3,HIGH,1.2,1.5,1.3,162.5,-0.2,-13.3,22,18,Indonesia,IDTBN
Tual,2022,14,ALL,ALL,1.1,LOW,5.5,LOW,1.2,8.9,1.1,0.0,3.4,161.9,25,13,Indonesia,IDTUA
Ternate,2022,14,ALL,ALL,0.3,LOW,4.1,LOW,0.1,2.4,,,,,15,5,Indonesia,IDTTE
Telukbayur,2022,14,ALL,ALL,0.5,LOW,1.9,LOW,1.6,6.4,-0.5,-50.0,-1.4,-42.4,27,23,Indonesia,IDTBR
Tarjun,2022,14,ALL,ALL,6.5,LOW,1.2,LOW,,4.3,6.2,2066.7,-1.5,-55.6,3,3,Indonesia,IDTAR
Tarakan,2022,14,ALL,ALL,1.4,LOW,2.3,LOW,1.6,0.9,1.1,366.7,1.5,187.5,4,4,Indonesia,IDTRK
Tarahan,2022,14,ALL,ALL,0.6,LOW,0.3,LOW,5.4,2.6,-0.5,-45.5,-0.7,-70.0,9,8,Indonesia,IDTRH
"Tanjung uban",2022,14,ALL,ALL,1.8,HIGH,0.1,HIGH,3.2,4.0,0.7,63.6,0.1,0.0,50,18,Indonesia,IDITN
"Tanjung pemancingan",2022,14,ALL,ALL,1.8,LOW,5.0,LOW,,2.8,-4.8,-72.7,2.1,72.4,2,2,Indonesia,IDTPN
"Tanjung jati",2022,14,ALL,ALL,1.6,LOW,2.9,LOW,2.3,10.7,1.6,0.0,-1.0,-25.6,3,3,Indonesia,
"Tanjung bara",2022,14,ALL,ALL,11.6,LOW,1.1,LOW,16.6,1.0,0.7,6.4,-0.1,-8.3,8,8,Indonesia,IDTBA
Tangguh,2022,14,ALL,ALL,2.5,LOW,1.4,LOW,3.7,1.1,-0.8,-24.2,-0.4,-22.2,4,4,Indonesia,
Suralaya,2022,14,ALL,ALL,0.9,LOW,2.0,LOW,2.1,2.2,0.0,0.0,1.1,122.2,15,13,Indonesia,IDSRL
Surabaya,2022,14,ALL,ALL,0.8,LOW,0.9,LOW,1.2,4.7,0.2,33.3,0.2,28.6,211,148,Indonesia,IDSUB
"Sungai pakning",2022,14,ALL,ALL,,LOW,0.5,LOW,,,,,-1.0,-66.7,1,1,Indonesia,IDSEQ
Sorong,2022,14,ALL,ALL,0.8,LOW,1.0,LOW,,3.5,0.4,100.0,0.5,100.0,7,7,Indonesia,IDSOQ
Sibolga,2022,14,ALL,ALL,,LOW,4.8,LOW,,2.6,,,3.9,433.3,3,2,Indonesia,IDSLG
Semarang,2022,14,ALL,ALL,0.6,LOW,0.9,LOW,1.4,1.2,0.3,100.0,0.1,12.5,36,31,Indonesia,IDSRG
Saumlaki,2022,14,ALL,ALL,0.1,LOW,0.5,LOW,0.8,0.2,-17.1,-99.4,-2.8,-84.8,5,4,Indonesia,IDSXK
Sampit,2022,14,ALL,ALL,0.5,HIGH,3.4,HIGH,1.9,5.4,0.1,25.0,1.9,126.7,16,16,Indonesia,IDSMQ
Samarinda,2022,14,ALL,ALL,0.5,LOW,1.8,LOW,0.3,2.7,0.2,66.7,0.8,80.0,12,12,Indonesia,IDSRI
Pontianak,2022,14,ALL,ALL,0.8,LOW,1.5,LOW,0.6,4.5,0.3,60.0,-0.6,-28.6,25,23,Indonesia,IDPNK
Pomako,2022,14,ALL,ALL,0.5,LOW,3.5,LOW,0.5,2.5,0.2,66.7,2.1,150.0,5,5,Indonesia,IDPMK
Pekanbaru,2022,14,ALL,ALL,1.3,MEDIUM,2.4,MEDIUM,,2.1,-0.5,-27.8,0.1,4.3,2,2,Indonesia,IDPKU
Panjang,2022,14,ALL,ALL,1.1,LOW,2.1,LOW,1.4,2.0,0.8,266.7,1.1,110.0,22,21,Indonesia,IDPNJ
"Pangkalan susu",2022,14,ALL,ALL,0.8,LOW,2.0,LOW,0.1,1.0,-0.3,-27.3,0.8,66.7,3,1,Indonesia,IDPKS
Palopo,2022,14,ALL,ALL,,LOW,18.0,LOW,,23.6,,,12.0,200.0,2,2,Indonesia,IDPPO
Palembang,2022,14,ALL,ALL,1.3,LOW,3.9,LOW,2.0,4.6,-0.2,-13.3,1.2,44.4,33,31,Indonesia,IDPLM
Paiton,2022,14,ALL,ALL,1.3,LOW,1.4,LOW,5.0,0.8,-0.8,-38.1,-1.4,-50.0,4,4,Indonesia,IDPAI
Padangbai,2022,14,ALL,ALL,0.0,HIGH,0.1,HIGH,,0.7,0.0,0.0,0.0,0.0,50,13,Indonesia,
Pacitan,2022,14,ALL,ALL,0.3,MEDIUM,1.8,MEDIUM,,1.1,-0.2,-40.0,-0.5,-21.7,2,2,Indonesia,ID5PP
Nunukan,2022,14,ALL,ALL,,MEDIUM,3.3,MEDIUM,,1.1,,,1.1,50.0,2,2,Indonesia,IDNNX
"Muara pantai",2022,14,ALL,ALL,0.3,LOW,4.8,LOW,0.3,2.1,0.3,0.0,-1.9,-28.4,9,9,Indonesia,IDMPN
"Migas lng batui",2022,14,ALL,ALL,,LOW,1.8,LOW,,,,,-0.2,-10.0,1,1,Indonesia,
Meulaboh,2022,14,ALL,ALL,,MEDIUM,0.9,MEDIUM,,,,0.0,-0.1,-10.0,1,1,Indonesia,IDMEQ
Merauke,2022,14,ALL,ALL,0.8,LOW,7.0,LOW,0.8,7.6,0.1,14.3,5.0,250.0,2,2,Indonesia,IDMKQ
Merak,2022,14,ALL,ALL,0.5,HIGH,0.0,HIGH,1.7,0.6,0.1,25.0,0.0,0.0,524,91,Indonesia,IDMRK
"Mekar putih",2022,14,ALL,ALL,1.3,LOW,1.1,LOW,1.3,0.8,1.0,333.3,-1.2,-52.2,4,3,Indonesia,
Maumere,2022,14,ALL,ALL,,LOW,1.7,LOW,,,,,0.3,21.4,1,1,Indonesia,IDMOF
Manokwari,2022,14,ALL,ALL,1.0,MEDIUM,0.8,MEDIUM,3.0,0.6,0.6,150.0,0.1,14.3,6,6,Indonesia,IDMKW
Manggis,2022,14,ALL,ALL,0.5,HIGH,1.0,HIGH,0.9,0.5,-1.0,-66.7,-0.1,-9.1,10,9,Indonesia,IDMGB
Malahayati,2022,14,ALL,ALL,0.6,MEDIUM,1.1,MEDIUM,1.2,0.6,0.5,500.0,-0.9,-45.0,4,4,Indonesia,
Makassar,2022,14,ALL,ALL,0.3,HIGH,0.8,HIGH,2.8,2.2,-0.1,-25.0,0.0,0.0,42,39,Indonesia,IDMAK
Luwuk,2022,14,ALL,ALL,,MEDIUM,1.7,MEDIUM,,4.0,,,0.1,6.3,5,5,Indonesia,IDLUW
"Lubuk gaung",2022,14,ALL,ALL,1.1,MEDIUM,1.4,MEDIUM,1.2,0.9,0.7,175.0,0.0,0.0,18,17,Indonesia,
Lembar,2022,14,ALL,ALL,1.0,LOW,0.3,LOW,0.5,2.9,0.2,25.0,0.0,0.0,88,24,Indonesia,IDLBR
"Lawe lawe",2022,14,ALL,ALL,0.3,MEDIUM,2.5,MEDIUM,0.1,1.0,-3.5,-92.1,1.3,108.3,2,2,Indonesia,IDLLA
Labuanabajo,2022,14,ALL,ALL,,MEDIUM,0.6,MEDIUM,,0.4,,,0.3,100.0,2,2,Indonesia,IDLBJ
Kupang,2022,14,ALL,ALL,0.9,LOW,1.1,LOW,4.4,3.9,-0.5,-35.7,-0.2,-15.4,17,12,Indonesia,IDKOE
Kumai,2022,14,ALL,ALL,3.8,HIGH,1.1,HIGH,4.7,3.0,3.1,442.9,0.2,22.2,10,9,Indonesia,IDKUM
"Krueng geukueh",2022,14,ALL,ALL,0.2,LOW,1.4,LOW,0.3,0.9,-1.2,-85.7,0.2,16.7,5,5,Indonesia,IDKGH
Kotabaru,2022,14,ALL,ALL,1.6,MEDIUM,2.0,MEDIUM,1.4,8.4,1.0,166.7,1.0,100.0,8,8,Indonesia,IDKBU
Kolaka,2022,14,ALL,ALL,,LOW,0.8,LOW,,1.9,,,0.2,33.3,12,5,Indonesia,IDKOL
Kijang,2022,14,ALL,ALL,0.3,MEDIUM,0.6,MEDIUM,,0.1,-0.2,-40.0,-0.1,-14.3,2,2,Indonesia,IDKIJ
Ketapang,2022,14,ALL,ALL,1.0,HIGH,0.0,HIGH,1.0,0.9,0.8,400.0,0.0,0.0,707,36,Indonesia,IDKTG
Kariangau,2022,14,ALL,ALL,0.0,HIGH,1.0,HIGH,0.8,10.9,0.0,0.0,-1.3,-56.5,289,32,Indonesia,IDKRG
Kalbut,2022,14,ALL,ALL,,LOW,2.4,LOW,,1.8,,,1.1,84.6,15,12,Indonesia,IDKSO
Kalabahi,2022,14,ALL,ALL,,MEDIUM,0.9,MEDIUM,,19.9,,,-33.5,-97.4,4,4,Indonesia,IDKBH
Kabil,2022,14,ALL,ALL,1.2,MEDIUM,0.1,MEDIUM,2.1,6.2,0.3,33.3,0.0,0.0,44,10,Indonesia,IDKAB
Jayapura,2022,14,ALL,ALL,0.0,MEDIUM,1.0,MEDIUM,1.2,0.5,-1.2,-100.0,-0.3,-23.1,5,4,Indonesia,IDDJJ
Jakarta,2022,14,ALL,ALL,0.3,LOW,1.3,LOW,4.2,5.6,0.0,0.0,0.1,8.3,230,189,Indonesia,IDJKT
Gresik,2022,14,ALL,ALL,0.5,LOW,2.4,LOW,1.5,2.2,-0.8,-61.5,-1.6,-40.0,45,44,Indonesia,IDGRE
Gilimanuk,2022,14,ALL,ALL,,HIGH,0.0,HIGH,,1.4,,,0.0,0.0,702,22,Indonesia,IDGIL
Garongkong,2022,14,ALL,ALL,0.5,LOW,17.5,LOW,,11.5,,,-0.9,-4.9,2,2,Indonesia,
Futong,2022,14,ALL,ALL,1.4,LOW,4.1,LOW,1.0,2.4,0.7,100.0,0.5,13.9,5,5,Indonesia,IDFTG
"Fak fak",2022,14,ALL,ALL,0.0,MEDIUM,0.5,MEDIUM,0.0,0.2,-0.3,-100.0,-0.2,-28.6,3,3,Indonesia,IDFKQ
Ende,2022,14,ALL,ALL,0.3,MEDIUM,0.7,MEDIUM,0.4,0.3,0.3,0.0,0.2,40.0,3,3,Indonesia,IDENE
Dumai,2022,14,ALL,ALL,0.3,LOW,2.3,LOW,3.2,1.6,0.0,0.0,1.0,76.9,44,26,Indonesia,IDDUM
Ciwandan,2022,14,ALL,ALL,0.3,LOW,0.9,LOW,5.8,0.9,-0.4,-57.1,0.0,0.0,23,22,Indonesia,IDCIW
Cirebon,2022,14,ALL,ALL,0.8,LOW,3.1,LOW,5.6,1.2,-0.4,-33.3,-0.1,-3.1,3,3,Indonesia,IDCBN
Cilegon,2022,14,ALL,ALL,0.5,HIGH,4.3,HIGH,1.9,17.5,0.0,0.0,-0.6,-12.2,13,11,Indonesia,IDCGN
Cilacap,2022,14,ALL,ALL,1.4,LOW,1.4,LOW,3.2,1.6,0.0,0.0,-0.4,-22.2,14,13,Indonesia,IDCXP
Cigading,2022,14,ALL,ALL,0.3,LOW,3.3,LOW,1.0,1.7,0.0,0.0,-1.7,-34.0,11,11,Indonesia,IDCIG
Bunati,2022,14,ALL,ALL,0.2,LOW,5.7,LOW,0.7,12.5,0.2,0.0,-1.5,-20.8,11,11,Indonesia,IDBUT
Bontang,2022,14,ALL,ALL,2.5,LOW,2.6,LOW,4.5,7.8,1.7,212.5,-1.1,-29.7,27,27,Indonesia,IDBXT
Bitung,2022,14,ALL,ALL,0.8,LOW,1.6,LOW,2.2,3.4,0.5,166.7,0.3,23.1,22,17,Indonesia,IDBIT
Biringkassi,2022,14,ALL,ALL,2.5,MEDIUM,1.9,MEDIUM,,1.0,-1.0,-28.6,1.0,111.1,3,3,Indonesia,IDBIR
Benoa,2022,14,ALL,ALL,0.2,LOW,0.9,LOW,0.3,0.4,0.2,0.0,-0.2,-18.2,5,5,Indonesia,IDBOA
Bengkulu,2022,14,ALL,ALL,0.0,LOW,1.5,LOW,,0.3,-0.5,-100.0,-1.5,-50.0,5,5,Indonesia,IDBKS
Benete,2022,14,ALL,ALL,,MEDIUM,1.1,MEDIUM,,1.9,,,0.0,0.0,3,3,Indonesia,IDBEN
Belawan,2022,14,ALL,ALL,0.9,LOW,1.4,LOW,1.4,0.8,-0.2,-18.2,-0.2,-12.5,33,32,Indonesia,IDBLW
"Batu ampar",2022,14,ALL,ALL,0.8,HIGH,1.3,HIGH,2.5,8.9,-0.2,-20.0,0.0,0.0,41,27,Indonesia,IDBUR
Banjarmasin,2022,14,ALL,ALL,0.3,LOW,0.9,LOW,1.3,5.4,0.0,0.0,-0.1,-10.0,51,41,Indonesia,IDBDJ
"Banda aceh",2022,14,ALL,ALL,,LOW,0.6,LOW,,0.4,,,0.4,200.0,7,1,Indonesia,IDBTJ
Balikpapan,2022,14,ALL,ALL,1.3,LOW,1.4,LOW,2.7,1.0,-1.0,-43.5,0.1,7.7,36,31,Indonesia,IDBPN
Bakauheni,2022,14,ALL,ALL,0.0,MEDIUM,0.1,MEDIUM,1.5,0.9,0.0,0.0,0.0,0.0,518,49,Indonesia,IDTKG
Bajoe,2022,14,ALL,ALL,,LOW,0.8,LOW,,0.8,,,0.0,0.0,13,5,Indonesia,
Ampenan,2022,14,ALL,ALL,0.1,LOW,0.5,LOW,0.2,0.3,0.1,0.0,-0.3,-37.5,5,5,Indonesia,IDAMP
Ambon,2022,14,ALL,ALL,0.3,HIGH,1.1,HIGH,0.2,1.6,-5.5,-94.8,0.3,37.5,12,8,Indonesia,IDAMQ
Amamapare,2022,14,ALL,ALL,1.3,MEDIUM,1.6,MEDIUM,1.0,1.9,-0.3,-18.8,-0.2,-11.1,9,6,Indonesia,IDAMA
"Adang bay",2022,14,ALL,ALL,2.3,LOW,9.3,LOW,5.7,4.9,2.3,0.0,2.5,36.8,12,12,Indonesia,IDADB
Wayame,2022,13,ALL,ALL,0.8,MEDIUM,1.2,MEDIUM,1.1,0.8,0.0,0.0,0.1,9.1,11,11,Indonesia,
Waingapu,2022,13,ALL,ALL,0.7,LOW,0.5,LOW,0.4,0.3,-0.3,-30.0,0.1,25.0,6,5,Indonesia,IDWGP
Tuban,2022,13,ALL,ALL,0.8,LOW,1.5,LOW,5.0,4.6,-1.7,-68.0,0.3,25.0,19,16,Indonesia,IDTBN
Tual,2022,13,ALL,ALL,0.0,LOW,2.1,LOW,0.2,6.5,-0.1,-100.0,0.6,40.0,15,11,Indonesia,IDTUA
Tolitoli,2022,13,ALL,ALL,0.0,MEDIUM,2.3,MEDIUM,,,-0.4,-100.0,0.2,9.5,1,1,Indonesia,IDTLI
Ternate,2022,13,ALL,ALL,0.2,MEDIUM,0.4,MEDIUM,0.3,0.7,-0.2,-50.0,0.2,100.0,8,5,Indonesia,IDTTE
Telukbayur,2022,13,ALL,ALL,1.0,LOW,3.3,LOW,1.5,5.2,-0.7,-41.2,1.2,57.1,20,14,Indonesia,IDTBR
Tarjun,2022,13,ALL,ALL,0.3,LOW,2.7,LOW,2.4,1.8,-0.5,-62.5,1.6,145.4,7,7,Indonesia,IDTAR
Tarakan,2022,13,ALL,ALL,0.3,LOW,0.8,LOW,1.4,0.7,-0.4,-57.1,-0.4,-33.3,6,5,Indonesia,IDTRK
Tarahan,2022,13,ALL,ALL,0.5,HIGH,1.3,HIGH,2.6,2.5,-0.4,-44.4,-0.2,-13.3,17,14,Indonesia,IDTRH
"Tanjung uban",2022,13,ALL,ALL,1.1,LOW,0.0,LOW,1.3,4.1,-1.5,-57.7,-0.1,-100.0,51,14,Indonesia,IDITN
"Tanjung pemancingan",2022,13,ALL,ALL,6.6,MEDIUM,2.9,MEDIUM,1.3,0.1,4.9,288.2,0.3,11.5,2,2,Indonesia,IDTPN
"Tanjung jati",2022,13,ALL,ALL,0.0,MEDIUM,3.9,MEDIUM,0.0,1.6,-2.6,-100.0,0.9,30.0,2,2,Indonesia,
"Tanjung bara",2022,13,ALL,ALL,13.4,MEDIUM,1.2,MEDIUM,12.1,0.5,2.5,22.9,0.0,0.0,7,7,Indonesia,IDTBA
Tangguh,2022,13,ALL,ALL,3.3,MEDIUM,1.8,MEDIUM,2.3,2.8,2.3,230.0,0.1,5.9,4,4,Indonesia,
Suralaya,2022,13,ALL,ALL,0.9,MEDIUM,0.9,MEDIUM,1.3,1.7,-0.3,-25.0,0.0,0.0,18,14,Indonesia,IDSRL
Surabaya,2022,13,ALL,ALL,0.6,MEDIUM,0.7,MEDIUM,1.2,2.4,-0.1,-14.3,0.0,0.0,203,139,Indonesia,IDSUB
"Sungai pakning",2022,13,ALL,ALL,2.0,LOW,1.5,LOW,1.4,0.1,1.3,185.7,-0.3,-16.7,2,2,Indonesia,IDSEQ
Sorong,2022,13,ALL,ALL,1.0,LOW,0.5,LOW,2.3,1.1,0.6,150.0,0.0,0.0,8,7,Indonesia,IDSOQ
Sibolga,2022,13,ALL,ALL,0.2,LOW,0.9,LOW,,,-0.1,-33.3,-1.1,-55.0,1,1,Indonesia,IDSLG
Semarang,2022,13,ALL,ALL,0.3,LOW,0.8,LOW,2.2,2.9,-0.2,-40.0,0.1,14.3,43,36,Indonesia,IDSRG
Saumlaki,2022,13,ALL,ALL,0.1,MEDIUM,1.3,MEDIUM,0.9,2.2,-17.1,-99.4,-2.0,-60.6,5,5,Indonesia,IDSXK
Sampit,2022,13,ALL,ALL,0.4,LOW,1.5,LOW,0.4,5.7,-0.1,-20.0,-1.6,-51.6,15,14,Indonesia,IDSMQ
Samarinda,2022,13,ALL,ALL,0.3,HIGH,1.0,HIGH,0.2,11.2,-0.3,-50.0,0.0,0.0,14,14,Indonesia,IDSRI
Pontianak,2022,13,ALL,ALL,0.5,LOW,2.1,LOW,0.7,4.3,0.0,0.0,0.6,40.0,39,33,Indonesia,IDPNK
Pomalaa,2022,13,ALL,ALL,,LOW,5.3,LOW,,,,,,,1,1,Indonesia,IDPUM
Pomako,2022,13,ALL,ALL,0.3,LOW,1.4,LOW,2.2,2.4,-2.7,-90.0,-1.1,-44.0,9,9,Indonesia,IDPMK
Panjang,2022,13,ALL,ALL,0.6,HIGH,1.4,HIGH,1.1,3.2,0.3,100.0,0.4,40.0,26,26,Indonesia,IDPNJ
"Pangkalan susu",2022,13,ALL,ALL,1.1,MEDIUM,1.2,MEDIUM,0.2,0.9,-0.8,-42.1,0.2,20.0,3,2,Indonesia,IDPKS
Palopo,2022,13,ALL,ALL,,LOW,6.0,LOW,,,,,4.9,445.4,1,1,Indonesia,IDPPO
Palembang,2022,13,ALL,ALL,1.5,HIGH,2.7,HIGH,2.4,2.0,0.8,114.3,-0.2,-6.9,31,31,Indonesia,IDPLM
Paiton,2022,13,ALL,ALL,1.1,LOW,1.3,LOW,1.4,0.8,-0.5,-31.3,-0.6,-31.6,2,2,Indonesia,IDPAI
Padangbai,2022,13,ALL,ALL,0.0,HIGH,0.1,HIGH,0.5,0.1,0.0,0.0,0.1,0.0,56,11,Indonesia,
Pacitan,2022,13,ALL,ALL,0.5,LOW,2.3,LOW,,,0.4,400.0,0.5,27.8,1,1,Indonesia,ID5PP
Nunukan,2022,13,ALL,ALL,,MEDIUM,2.2,MEDIUM,,0.4,,,-2.7,-55.1,2,2,Indonesia,IDNNX
Muntok,2022,13,ALL,ALL,,LOW,0.9,LOW,,,,,-1.3,-59.1,1,1,Indonesia,IDMUO
"Muara satui",2022,13,ALL,ALL,,LOW,8.1,LOW,,,,,5.5,211.5,1,1,Indonesia,IDSTU
"Muara pantai",2022,13,ALL,ALL,0.1,LOW,5.3,LOW,0.2,2.2,,,-2.1,-28.4,9,9,Indonesia,IDMPN
"Migas lng batui",2022,13,ALL,ALL,,LOW,2.0,LOW,,0.2,,,0.2,11.1,2,2,Indonesia,
Meulaboh,2022,13,ALL,ALL,0.0,MEDIUM,1.0,MEDIUM,,,-0.1,-100.0,0.0,0.0,1,1,Indonesia,IDMEQ
Merauke,2022,13,ALL,ALL,0.7,MEDIUM,2.0,MEDIUM,0.4,0.6,-0.2,-22.2,-0.5,-20.0,4,4,Indonesia,IDMKQ
Merak,2022,13,ALL,ALL,0.4,MEDIUM,0.0,MEDIUM,1.6,0.4,0.1,33.3,0.0,0.0,567,90,Indonesia,IDMRK
"Mekar putih",2022,13,ALL,ALL,0.6,MEDIUM,1.5,MEDIUM,,1.0,-0.4,-40.0,-0.1,-6.3,4,3,Indonesia,
Maumere,2022,13,ALL,ALL,,MEDIUM,1.4,MEDIUM,,5.0,,,-0.2,-12.5,3,3,Indonesia,IDMOF
Manokwari,2022,13,ALL,ALL,0.3,LOW,1.1,LOW,0.0,0.8,0.0,0.0,0.5,83.3,5,4,Indonesia,IDMKW
Mangkasa,2022,13,ALL,ALL,12.4,MEDIUM,1.2,MEDIUM,,,11.5,1277.8,-1.6,-57.1,1,1,Indonesia,
Manggis,2022,13,ALL,ALL,1.5,HIGH,1.1,HIGH,2.7,0.7,0.9,150.0,-0.1,-8.3,13,11,Indonesia,IDMGB
Malili,2022,13,ALL,ALL,0.4,MEDIUM,2.5,MEDIUM,,,-0.4,-50.0,1.8,257.1,1,1,Indonesia,IDMLI
Malahayati,2022,13,ALL,ALL,0.1,MEDIUM,2.0,MEDIUM,0.2,1.0,-0.3,-75.0,-5.0,-71.4,3,3,Indonesia,
Makassar,2022,13,ALL,ALL,0.4,HIGH,0.8,HIGH,2.9,2.4,0.0,0.0,0.0,0.0,55,49,Indonesia,IDMAK
Luwuk,2022,13,ALL,ALL,,MEDIUM,2.5,MEDIUM,,1.7,,,0.9,56.3,5,4,Indonesia,IDLUW
"Lubuk gaung",2022,13,ALL,ALL,0.4,HIGH,1.4,HIGH,2.6,1.0,-0.2,-33.3,0.3,27.3,21,18,Indonesia,
Lembar,2022,13,ALL,ALL,0.8,LOW,0.3,LOW,1.2,1.1,-0.2,-20.0,0.1,50.0,95,23,Indonesia,IDLBR
"Lawe lawe",2022,13,ALL,ALL,3.8,MEDIUM,1.2,MEDIUM,3.1,1.0,2.4,171.4,-12.2,-91.0,3,2,Indonesia,IDLLA
Labuanabajo,2022,13,ALL,ALL,,LOW,0.3,LOW,,,,,0.0,0.0,1,1,Indonesia,IDLBJ
Kupang,2022,13,ALL,ALL,1.4,LOW,1.3,LOW,2.6,3.7,0.1,7.7,-0.3,-18.8,14,10,Indonesia,IDKOE
Kumai,2022,13,ALL,ALL,0.7,MEDIUM,0.9,MEDIUM,,0.3,-1.2,-63.2,-1.2,-57.1,9,6,Indonesia,IDKUM
"Krueng geukueh",2022,13,ALL,ALL,0.2,MEDIUM,1.4,MEDIUM,0.1,0.1,0.0,0.0,0.3,27.3,4,4,Indonesia,IDKGH
Kotabaru,2022,13,ALL,ALL,0.6,MEDIUM,1.0,MEDIUM,0.6,2.4,-1.1,-64.7,-0.8,-44.4,7,6,Indonesia,IDKBU
Kolaka,2022,13,ALL,ALL,,LOW,0.6,LOW,,0.7,,,-0.1,-14.3,14,7,Indonesia,IDKOL
Kijang,2022,13,ALL,ALL,0.5,MEDIUM,0.7,MEDIUM,0.7,0.4,,,-0.6,-46.1,5,5,Indonesia,IDKIJ
Ketapang,2022,13,ALL,ALL,0.2,HIGH,0.0,HIGH,0.5,0.7,0.2,0.0,0.0,0.0,727,30,Indonesia,IDKTG
